ID,coorte,cod_prog,code,codne,datae,tipo,voto,giud,crediti,votop,media pesata,giud2,descrizione,sesso,sesson,istituto,istituton,voto diploma,voto test
2010002,2010,2,B006821,35,2015-02-24,S,18,0,9,162,22.77,0,INFORMATICA TEORICA,M,1,,,,
2010002,2010,2,B006802,23,2012-01-31,S,19,0,12,228,22.77,0,ARCHITETTURE DEGLI ELABORATORI,M,1,,,,
2010002,2010,2,B006800,21,2011-06-15,S,21,0,12,252,22.77,0,ALGORITMI E STRUTTURE DATI,M,1,,,,
2010002,2010,2,B006813,30,2012-06-26,S,21,0,9,189,22.77,0,BASI DI DATI E SISTEMI INFORMATIVI,M,1,,,,
2010002,2010,2,B006815,31,2013-07-29,S,21,0,6,126,22.77,0,CALCOLO DELLE PROBABILITA' E STATISTICA,M,1,,,,
2010002,2010,2,B006819,34,2014-06-03,S,21,0,9,189,22.77,0,CALCOLO NUMERICO,M,1,,,,
2010002,2010,2,B006803,24,2011-09-21,S,22,0,9,198,22.77,0,MATEMATICA DISCRETA E LOGICA,M,1,,,,
2010002,2010,2,B006809,28,2012-01-23,S,22,0,6,132,22.77,0,METODOLOGIE DI PROGRAMMAZIONE,M,1,,,,
2010002,2010,2,B006816,32,2014-02-14,S,23,0,9,207,22.77,0,FISICA GENERALE,M,1,,,,
2010002,2010,2,B006804,25,2011-07-11,TF,24,1,12,288,22.77,0,PROGRAMMAZIONE,M,1,,,,
2010002,2010,2,B006822,36,2014-02-24,S,26,1,6,156,22.77,0,CODICI E SICUREZZA,M,1,,,,
2010002,2010,2,B006801,22,2011-07-26,S,27,1,12,324,22.77,0,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,M,1,,,,
2010002,2010,2,B006810,29,2013-07-19,S,27,1,9,243,22.77,0,PROGRAMMAZIONE CONCORRENTE,M,1,,,,
2010002,2010,2,B006818,33,2013-01-07,S,27,1,9,243,22.77,0,SISTEMI OPERATIVI,M,1,,,,
2010007,2010,7,B006808,27,2014-07-14,S,18,0,6,108,23.57,0,ANALISI II: FUNZIONI DI PIU' VARIABILI,M,1,IT,3,72,10
2010007,2010,7,B006816,32,2017-03-22,S,18,0,9,162,23.57,0,FISICA GENERALE,M,1,IT,3,72,10
2010007,2010,7,B006807,26,2013-02-05,S,19,0,6,114,23.57,0,ALGEBRA LINEARE,M,1,IT,3,72,10
2010007,2010,7,B006821,35,2015-09-30,S,19,0,9,171,23.57,0,INFORMATICA TEORICA,M,1,IT,3,72,10
2010007,2010,7,B006813,30,2015-02-16,S,20,0,9,180,23.57,0,BASI DI DATI E SISTEMI INFORMATIVI,M,1,IT,3,72,10
2010007,2010,7,B006802,23,2012-09-20,S,22,0,12,264,23.57,0,ARCHITETTURE DEGLI ELABORATORI,M,1,IT,3,72,10
2010007,2010,7,B006822,36,2015-06-29,S,23,0,6,138,23.57,0,CODICI E SICUREZZA,M,1,IT,3,72,10
2010007,2010,7,B006809,28,2012-02-10,S,24,1,6,144,23.57,0,METODOLOGIE DI PROGRAMMAZIONE,M,1,IT,3,72,10
2010007,2010,7,B006818,33,2013-02-27,S,24,1,9,216,23.57,0,SISTEMI OPERATIVI,M,1,IT,3,72,10
